PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
1519983,THE PINNACLE'S CUBS DEN,School-Age Child Care Center,1001 W 84th AVE,Federal Heights,CO,80260,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.999951,39.849986, , , ,100, , , , , ,   , , , ,20180630
1519985,TRACY STARKEY,Family Child Care Home,19809 E Eldorado DR,Aurora,CO,80013,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.755477,39.657596,9/12/2017 0:00,9/12/2020 0:00,Level 2,6,1,1,11/30/2018 0:00,1,1,491,11/30/2018 0:00,1,1,20180630
1520017,LORI TRAUDT,Large Family Child Care Home,13574 Clermont ST,Thornton,CO,80241,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.934028,39.941945, , ,Level 1,12, , , , , ,   , , , ,20180630
1520020,DESPINA BRYANT,Family Child Care Home,8664 Vanderwood RD,Colorado Springs,CO,80908,El Paso,Black Forest-Peyton,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.692947,38.954518, , ,Level 1,6, , , , , ,   , , , ,20180630
1520033,TINA BROWNING,Experienced Family Child Care Home,920 S 10th AVE,Sterling,CO,80751,Logan,Sterling,Valley School District RE-1,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgwick",-103.227148,40.616563,1/17/2017 0:00,1/17/2020 0:00,Level 2,9, , ,11/30/2018 0:00,0,1,   ,11/30/2018 0:00,0,1,20180630
1520069,VICKI BRENISER,Family Child Care Home,4653 S Espana ST,Centennial,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.760639,39.632615, , ,Level 1,6, , , , , ,   , , , ,20180630
1520104,IMAGINATION IN EDUCATION @ KING,School-Age Child Care Center,6910 Defoe,Security,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.699299,38.734656, , , ,50, , , , , ,   , , , ,20180630
1520108,IMAGINATION IN EDUCATION @ VENETUCCI,School-Age Child Care Center,405 Willis DR,Widefield,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.727964,38.741213, , , ,25, , , , , ,   , , , ,20180630
1520111,IMAGINATION IN EDUCATION @ WEBSTER,School-Age Child Care Center,445 Jersey LN,Widefield,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.714085,38.725877, , , ,50, , , , , ,   , , , ,20180630
1520113,IMAGINATION IN EDUCATION @ FRENCH,School-Age Child Care Center,5225 Alturas,Widefield,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.727006,38.769164, , , ,50, , , , , ,   , , , ,20180630
