PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
1633385,LITTLE LOVES EARLY LEARNING CENTER LLC,Child Care Center,6454 Simms ST,Arvada,CO,80004,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.12607,39.814427, , ,Level 1,42, , , , , ,   , , , ,20180630
1633601,MOUNT SAINT VINCENT EARLY LEARNING CENTER,Child Care Center,4159 Lowell BLVD,Denver,CO,80211,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.03653,39.773579,5/31/2015 0:00,5/31/2018 0:00,Level 4,49, , ,6/30/2019 0:00,1,1,   ,6/30/2019 0:00,1,1,20180630
1633719,JERI COWAN,Family Child Care Home,4708 Truckee ST,Denver,CO,80249,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.780934,39.782011,4/6/2018 0:00,4/6/2021 0:00,Level 2,6, , , , , ,   , , , ,20180630
1634009,KIDS ADVENTURES AT SOAR-GVR,School-Age Child Care Center,4800 Telluride ST BLDG 4,Denver,CO,80249,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.781434,39.785649, , , ,50,7,5,10/31/2019 0:00,13,1,461,10/31/2019 0:00,12,1,20180630
1634218,GRANADA PRESCHOOL,Preschool Program,201 S Hoisington AVE,Granada,CO,81041,Prowers,Granada,Granada School District RE-1,Prowers County Roots and Wings,Childrens First,-102.306224,38.061585, , ,Level 1,28, , , , , ,   , , , ,20180630
1634378,DONNA STENROOS,Family Child Care Home,5545 E 130th DR,Thornton,CO,80241,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.92363,39.932864, , ,Level 1,6, , , , , ,   , , , ,20180630
1634384,ANNAMARIE JOHNSON,Family Child Care Home,8265 Clifton DR,Colorado Springs,CO,80920,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.724876,38.950967, , ,Level 1,6, , , , , ,   , , , ,20180630
1634603,ELENA CALHOUN,Family Child Care Home,4403 Campus Bluffs CT,Colorado Springs,CO,80918,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.787176,38.895166, , ,Level 1,6, , , , , ,   , , , ,20180630
1634797,KU CHAMPIONS LLC @ RANCH CREEK ELEMENTARY,School-Age Child Care Center,9155  Tutt BLVD,Colorado Springs,CO,80924,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.723902,38.964473, , , ,75,1,1,12/31/2018 0:00,1,1,85,12/31/2018 0:00,1,1,20180630
1634809,KU CHAMPIONS LLC @ ACADEMY INTERNATIONAL ELEM,School-Age Child Care Center,8550 Charity DR,Colorado Springs,CO,80920,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.765575,38.962557, , , ,50, , ,12/31/2018 0:00,3,1,   ,12/31/2018 0:00,2,1,20180630
1634811,KCE CHAMPIONS LLC @ FOOTHILLS ELEMENTARY,School-Age Child Care Center,825 Allegheny DR,Colorado Springs,CO,80919,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.84341,38.930982, , , ,75,2,2,12/31/2018 0:00,2,1,139,12/31/2018 0:00,1,1,20180630
1634815,KCE CHAMPIONS LLC @ WOODMEN ROBERTS ELEMENTAR,School-Age Child Care Center,8365 Orchard Path RD,Colorado Springs,CO,80919,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.869783,38.945769, , , ,75,3,2,12/31/2018 0:00,3,1,350,12/31/2018 0:00,2,1,20180630
1634819,KCE CHAMPIONS LLC @ ROCKRIMMON ELEMENTARY,School-Age Child Care Center,194  Mikado DR W,Colorado Springs,CO,80919,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.830363,38.932951, , , ,75, , ,12/31/2018 0:00,3,1,   ,12/31/2018 0:00,3,1,20180630
1634822,KU CHAMPIONS LLC @ DOUGLAS VALLEY ELEMENTARY,School-Age Child Care Center,4610 Douglas DR,Colorado Springs,CO,80840,El Paso,Monument,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.866663,38.992274, , , ,50,3,1,12/31/2018 0:00,3,1,700,12/31/2018 0:00,3,1,20180630
1634923,STEP BY STEP LEARNING CENTER,Child Care Center,2401 W 44th AVE,Denver,CO,80211,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.016049,39.776676,1/31/2018 0:00,1/31/2021 0:00,Level 2,76,43,23,6/30/2019 0:00,47,1,17489,6/30/2019 0:00,48,1,20180630
1634987,TIFFANY BAUER,Family Child Care Home,12364 Ivy PL,Brighton,CO,80602,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.919189,39.91981, , ,Level 1,6, , , , , ,   , , , ,20180630
1635061,CORDILLERA DAY CAMP,School-Age Child Care Center,3000 Fenno DR,Cordillera,CO,81632,Eagle,Eagle-Gypsum,Eagle County School District RE 50,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-106.676986,39.626271, , , ,50, , , , , ,   , , , ,20180630
1635165,KERI DURNEN,Family Child Care Home,11772 Elizabeth CIR,Thornton,CO,80233,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.957288,39.90946,2/8/2016 0:00,2/8/2019 0:00,Level 2,6, , , , , ,   , , , ,20180630
1635168,HYLAND HILLS SUMMER CAMP @ CROWN POINTE,School-Age Child Care Center,2900 W 86th AVE,Westminster,CO,80031,Adams,West Adams,Westminster School District 50,Early Childhood Partnership of Adams County,Child Care Innovations,-105.023891,39.852, , , ,60, , , , , ,   , , , ,20180630
1635231,NANCY SCHULER,Large Family Child Care Home,1177 Princeton DR,Longmont,CO,80503,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.142653,40.179287, , ,Level 1,12, , , , , ,   , , , ,20180630
1635364,HEATHER MCMAHON,Family Child Care Home,479 Mesa DR,Eagle,CO,81631,Eagle,Eagle-Gypsum,Eagle County School District RE 50,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-106.833668,39.664902, , ,Level 1,6, , , , , ,   , , , ,20180630
1635368,CEEN PLAZA DEL MILAGRO,Preschool Program,2500 1st AVE,Greeley,CO,80631,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.677438,40.397164,1/1/2015 0:00,12/31/2020 0:00,Level 4,51, , , , , ,   , , , ,20180630
1635371,CEEN MADISON,Preschool Program,500 24th AVE,Greeley,CO,80634,Weld,Greeley,Greeley School District 6,Promises for Children,Promises for Children,-104.719008,40.428113,1/1/2015 0:00,12/31/2020 0:00,Level 4,34, , , , , ,   , , , ,20180630
1635463,STARR WEBSTER,Large Family Child Care Home,2320 Forecastle DR,Fort Collins,CO,80524,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.036607,40.619942, , ,Level 1,12, , , , , ,   , , , ,20180630
1635624,NOAH'S ARK PRESCHOOL AND CHILD CARE,DCC,3501 W 104th AVE,Westminster,CO,80031,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-105.030988,39.885717,3/31/2017 0:00,3/31/2020 0:00,Level 3,112,3,3,4/30/2019 0:00,5,1,2232,4/30/2019 0:00,7,1,20180630
1635807,BVSD KOHL ELEMENTARY,School-Age Child Care Center,1000 W 10th AVE,Broomfield,CO,80020,Broomfield,Broomfield,Boulder Valley School District RE-2,Broomfield Early Childhood Council,Child Care Innovations,-105.081735,39.927754, , , ,80, , ,10/31/2019 0:00,0,1,   ,10/31/2019 0:00,0,1,20180630
1635886,FOUNDATIONS ECE,Child Care Center,12401 W 58th AVE,Arvada,CO,80002,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.138444,39.802212, , ,Level 1,78, , , , , ,   , , , ,20180630
1635946,ROCKRIMMON CHRISTIAN PRESCHOOL,Child Care Center,728 Village Center DR,Colorado Springs,CO,80919,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.843715,38.923139,11/17/2016 0:00,11/17/2019 0:00,Level 2,30,1,1,12/31/2018 0:00,1,1,307,12/31/2018 0:00,1,1,20180630
1635964,CAMP GRANITE LAKE,Resident Camp,11902 Camp Eden RD,Golden,CO,80403,Jefferson,Golden,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.387933,39.907681, , , ,220, , , , , ,   , , , ,20180630
1636114,AMANDA HAHN,Family Child Care Home,332 Whitney Bay,Windsor,CO,80550,Weld,Windsor,Windsor School District RE-4,Promises for Children,Promises for Children,-104.88995,40.45997, , ,Level 1,6, , , , , ,   , , , ,20180630
1636202,CITY OF GUNNISON,School-Age Child Care Center,501 E Tomichi,Gunnison,CO,81230,Gunnison,Gunnison,Gunnison Watershed School District RE-1J,Gunnison Hinsdale Early Childhood Council,Bright Futures,-106.921085,38.54371, , , ,25, , , , , ,   , , , ,20180630
1636206,WASHINGTON CHILDREN'S CENTER,Child Care Center,3165 S Washington ST,Englewood,CO,80113,Arapahoe,Southwest Arapahoe,Englewood School District 1,Arapahoe County Early Childhood Council,Child Care Innovations,-104.979525,39.659302,4/30/2018 0:00,4/30/2021 0:00,Level 4,134, , ,12/31/2021 0:00,0,1,   ,12/31/2021 0:00,0,1,20180630
1636234,CENTRAL WRAPAROUND AND PRESCHOOL PROGRAMS,Child Care Center,1020 4th AVE,Longmont,CO,80501,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.109135,40.16658, , ,Level 1,66, , ,8/31/2019 0:00,0,1,   ,8/31/2019 0:00,0,1,20180630
1636463,JOURNEY CHURCH,School-Age Child Care Center,8075 WCR 72,Windsor,CO,80550,Weld,Windsor,Windsor School District RE-4,Promises for Children,Promises for Children,-104.906337,40.509108, , , ,15, , , , , ,   , , , ,20180630
1636657,JOHN JAQUISH,Large Family Child Care Home,9350 WCR 13,Firestone,CO,80504,Weld,Erie-Frederick,St. Vrain Valley School District RE 1J,Promises for Children,Promises for Children,-104.940575,40.137306,3/31/2018 0:00,3/31/2021 0:00,Level 2,12, , ,6/30/2020 0:00,0,1,   ,6/30/2020 0:00,0,1,20180630
1636669,MARIA GARCIA,Family Child Care Home,1730 S Vallejo ST,Denver,CO,80223,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.0126,39.68523,2/1/2017 0:00,2/1/2020 0:00,Level 2,6, , ,2/28/2019 0:00,0,1,   ,2/28/2019 0:00,1,1,20180630
1636778,JILL HEWITT,Large Family Child Care Home,12289 W Dakota DR,Lakewood,CO,80228,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.137103,39.699966, , ,Level 1,12, , , , , ,   , , , ,20180630
1636957,"TIMBERLINE MINISTRIES, INC",Resident Camp,415 CR 5001,Fraser,CO,80442,Grand,Granby,East Grand School District 2,Grand and Jackson Early Childhood Council,Summit Co CCR&R,-105.866308,39.944539, , , ,110, , , , , ,   , , , ,20180630
1637055,LITTLE LYCEUM,Child Care Center,800 S Sheridan BLVD,Denver,CO,80226,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.052742,39.702331,3/31/2017 0:00,3/31/2020 0:00,Level 2,56,4,4,10/31/2020 0:00,9,1,664,10/31/2020 0:00,10,1,20180630
1637219,KULLERSTRAND SCHOOL AGE ENRICHMENT,School-Age Child Care Center,12225 W 38th AVE,Wheat Ridge,CO,80033,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.136159,39.768655, , , ,100,8,6,4/30/2019 0:00,9,1,1594,4/30/2019 0:00,13,1,20180630
1637474,MARISELA LIZARRAGA,Large Family Child Care Home,6915 Corn Tassle DR,Colorado Springs,CO,80911,El Paso,Fountain,Widefield School District 3,Alliance for Kids,Alliance for Kids,-104.686674,38.731972, , ,Level 1,12, , , , , ,   , , , ,20180630
1637497,ASPEN MOUNTAIN TOTS,Child Care Center,215 N Garmisch ST RM 1,Aspen,CO,81611,Pitkin,Aspen,Aspen School District 1,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,-106.822604,39.192855,8/31/2015 0:00,8/31/2018 0:00,Level 3,31, , ,9/30/2018 0:00,0,1,   ,9/30/2018 0:00,0,1,20180630
1637522,BIVIANA MARTINEZ,Large Family Child Care Home,4438 Millburn DR,Colorado Springs,CO,80906,El Paso,Colorado Springs,Harrison School District 2,Alliance for Kids,Alliance for Kids,-104.791023,38.768842,8/31/2016 0:00,8/31/2019 0:00,Level 2,12,11,6,12/31/2018 0:00,13,1,2801,12/31/2018 0:00,9,1,20180630
1637540,RISING STARS DAYCARE,Child Care Center,12291 E Cornell AVE,Aurora,CO,80014,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.845154,39.662148,5/31/2016 0:00,5/31/2019 0:00,Level 3,137,65,29,8/31/2019 0:00,76,1,32582,8/31/2019 0:00,93,1,20180630
1637549,ROCKY MOUNTAIN PREPARATORY SCHOOL,Child Care Center,7808 Cherry Creek S. DR # 3-300,Denver,CO,80231,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.898914,39.678866,12/31/2016 0:00,12/31/2019 0:00,Level 3,64, , , , , ,   , , , ,20180630
1637686,YMCA OF THE PIKES PEAK REGION  @ GVA,School-Age Child Care Center,303 Austin Bluffs PKWY,Colorado Springs,CO,80918,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.814993,38.89723, , , ,100,12,10,12/31/2018 0:00,17,1,362,12/31/2018 0:00,15,1,20180630
1637780,CHAMPIONS @ CHERRY CREEK,School-Age Child Care Center,6260 S Dayton ST,Englewood,CO,80111,Arapahoe,Southwest Arapahoe,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.874898,39.602781, , , ,50, , , , , ,   , , , ,20180630
1637832,JENNIFER LAND,Family Child Care Home,1809 Del Norte AVE,Loveland,CO,80538,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.105336,40.411321, , ,Level 1,6, , , , , ,   , , , ,20180630
1637870,SEASONS SCHOOLHOUSE INC,Child Care Center,617 W Virginia AVE,Gunnison,CO,81230,Gunnison,Gunnison,Gunnison Watershed School District RE-1J,Gunnison Hinsdale Early Childhood Council,Bright Futures,-106.934253,38.545482,3/14/2016 0:00,3/14/2019 0:00,Level 2,24,7,5,11/30/2019 0:00,7,1,444,11/30/2019 0:00,8,1,20180630
1637873,WILDFLOWER PRESCHOOL,Child Care Center,4775 Cambridge ST,Boulder,CO,80301,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.169951,40.061632,5/11/2016 0:00,5/11/2019 0:00,Level 2,40, , ,5/31/2019 0:00,0,1,   ,5/31/2019 0:00,0,1,20180630
1637950,KCE CHAMPIONS @ TRPAUL,School-Age Child Care Center,4800 Wheaton DR,Fort Collins,CO,80525,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.052495,40.519467, , , ,50,2,2,12/31/2019 0:00,2,1,13,12/31/2019 0:00,2,1,20180630
1638091,LOVELAND SPORTS DAY CAMP,School-Age Child Care Center,1669 Eagle DR,Loveland,CO,80537,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.100604,40.387986, , , ,150, , , , , ,   , , , ,20180630
1638158,MINDY DIAZ,Family Child Care Home,11756 Kittredge ST,Commerce City,CO,80022,Adams,Brighton,Brighton School District 27J,Early Childhood Partnership of Adams County,Child Care Innovations,-104.802346,39.872297, , ,Level 1,6, , , , , ,   , , , ,20180630
1638171,SHERRY WILSON,Infant/Toddler Home,12299 Village CIR E,Brighton,CO,80603,Adams,Brighton,Brighton School District 27J,Early Childhood Partnership of Adams County,Child Care Innovations,-104.80046,39.91892,8/31/2017 0:00,8/31/2020 0:00,Level 2,4, , ,12/31/2018 0:00,0,1,   ,12/31/2018 0:00,0,1,20180630
1638174,CYNTHIA GRAY,Family Child Care Home,5320 Garland ST,Arvada,CO,80002,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.100872,39.792501, , ,Level 1,6, , , , , ,   , , , ,20180630
1638213,TONYA PELLETT,Family Child Care Home,2560 Wimbleton CT,Colorado Springs,CO,80920,El Paso,Colorado Springs,Academy School District 20,Alliance for Kids,Alliance for Kids,-104.777786,38.961912, , ,Level 1,6, , , , , ,   , , , ,20180630
1638237,5280 EARLY CHILDHOOD EDUCATION CENTER,Child Care Center,17602 W 14th AVE,Golden,CO,80401,Jefferson,Golden,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.198934,39.738619,7/31/2016 0:00,7/31/2019 0:00,Level 2,67, , , , , ,   , , , ,20180630
1638372,MAPLETON EARLY CHILDCARE CENTER,Child Care Center,840 Mapleton AVE,Boulder,CO,80304,Boulder,Boulder,Boulder Valley School District RE-2,Early Childhood Council of Boulder County,ECC Boulder Co,-105.285442,40.019979,2/1/2017 0:00,1/31/2020 0:00,Level 4,121, , , , , ,   , , , ,20180630
1638438,SHEHLA AFZAL,Family Child Care Home,21567 E Smoky Hill RD,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.73688,39.60614, , ,Level 1,6, , , , , ,   , , , ,20180630
1638468,THORNCREEK CHRISTAIN,Child Care Center,12505 Colorado BLVD,Thornton,CO,80241,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.940398,39.923516, , ,Level 1,15, , , , , ,   , , , ,20180630
1638470,MERCY EMPLOYEE CHILDCARE,Child Care Center,1225 Three Springs BLVD,Durango,CO,81301,La Plata,Durango,Durango School District 9-R,Early Childhood Council of La Plata County,ECC La Plata Co,-107.827722,37.234642,3/4/2016 0:00,3/4/2019 0:00,Level 2,64,3,3,12/31/2018 0:00,3,1,1059,12/31/2018 0:00,3,1,20180630
1638520,LAURA KING,Large Family Child Care Home,7580 Greenough RD,Peyton,CO,80831,El Paso,Elsmere,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.598323,38.942757,4/1/2017 0:00,3/31/2020 0:00,Level 2,12, , , , , ,   , , , ,20180630
1638525,MARIONETTA COOPER,Three under Two Family Child Care Home,6835 Road 25,Cortez,CO,81321,Montezuma,Cortez,Montezuma-Cortez School District RE-1,Montelores Early Childhood Council,ECC La Plata Co,-108.591281,37.310153,7/31/2015 0:00,7/31/2018 0:00,Level 2,6,3,3,10/31/2019 0:00,2,1,512,10/31/2019 0:00,5,1,20180630
1638550,JULIE MERRILL,Family Child Care Home,1786 Cottonwood ST,Broomfield,CO,80020,Broomfield,Broomfield,Boulder Valley School District RE-2,Broomfield Early Childhood Council,Child Care Innovations,-105.056637,39.941264,1/14/2016 0:00,1/14/2019 0:00,Level 2,6, , , , , ,   , , , ,20180630
1638645,YMCA AT ACADEMY FOR ADVANCED & CREATIVE LEARN,School-Age Child Care Center,2510 N Chestnut ST,Colorado Springs,CO,80907,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.83708,38.868372, , , ,50,3,2,12/31/2018 0:00,3,1,156,12/31/2018 0:00,2,1,20180630
1638649,"VINE STREET PRESCHOOL, INC",Child Care Center,1733 Vine ST,Denver,CO,80206,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.962571,39.743775, , ,Level 1,138, , , , , ,   , , , ,20180630
1638684,BARNUM RECREATION CENTER,School-Age Child Care Center,360 Hooker ST,Denver,CO,80219,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.028106,39.722338, , , ,65, , , , , ,   , , , ,20180630
1638919,YMCA AT MONTCLAIR ELEMENTARY,School-Age Child Care Center,1151 Newport ST,Denver,CO,80220,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.909976,39.733539, , , ,100, , , , , ,   , , , ,20180630
1638921,HANANE LOTF ALLAH,Family Child Care Home,2501 E 100th WAY,Thornton,CO,80229,Adams,West Adams,Mapleton School District 1,Early Childhood Partnership of Adams County,Child Care Innovations,-104.957394,39.878775, , ,Level 1,6, , , , , ,   , , , ,20180630
1638923,DPS DISCOVERY LINK @ ISABELLA BIRD COMM,School-Age Child Care Center,2701 N Lima ST,Denver,CO,80239,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.857315,39.756554, , , ,150, , ,9/30/2020 0:00,4,1,   ,9/30/2020 0:00,4,1,20180630
1639156,PEAK CHILDREN'S ACADEMY,Child Care Center,520 E Midland AVE,Woodland Park,CO,80863,Teller,Divide,Woodland Park School District RE-2,Teller/Park Early Childhood Council,Alliance for Kids,-105.048245,38.994791,7/31/2017 0:00,7/31/2020 0:00,Level 3,74,27,17,12/31/2019 0:00,27,1,15965,12/31/2019 0:00,34,1,20180630
1639185,EXPLORE ELEMENTARY,Child Care Center,2410 Poze BLVD,Thornton,CO,80229,Adams,West Adams,Mapleton School District 1,Early Childhood Partnership of Adams County,Child Care Innovations,-104.958376,39.863097, , ,Level 1,32, , , , , ,   , , , ,20180630
1639200,YMCA AT WYATT ACADEMY,School-Age Child Care Center,3620 Franklin ST,Denver,CO,80205,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.967623,39.767281, , , ,500, , , , , ,   , , , ,20180630
1639204,YMCA AT GRANT RANCH K-8,School-Age Child Care Center,5400 S Jay CIR,Denver,CO,80123,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.06424,39.616939, , , ,100, , , , , ,   , , , ,20180630
1639208,YMCA OF METRO DENVER @ DDES,School-Age Child Care Center,1860 Lincoln ST,Denver,CO,80202,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.985815,39.745705, , , ,100, , ,9/30/2020 0:00,1,1,   ,9/30/2020 0:00,6,1,20180630
1639210,YMCA AT HOLM ELEMENTARY,School-Age Child Care Center,3185 S Willow ST,Denver,CO,80231,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.892631,39.657979, , , ,45,6,3,8/31/2019 0:00,9,1,740,8/31/2019 0:00,6,1,20180630
1639326,PLATT PARK CHILDRENS CENTER,Child Care Center,1601 S Clarkson ST,Denver,CO,80210,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.97844,39.687186, , ,Level 1,66, , , , , ,   , , , ,20180630
1639436,BURLINGTON ELEMENTARY SCHOOL,Child Care Center,1051 S Pratt PKWY,Longmont,CO,80501,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.108045,40.146419,5/23/2017 0:00,5/23/2020 0:00,Level 2,82,10,7,7/31/2018 0:00,12,1,3583,8/31/2019 0:00,5,1,20180630
1639562,ODEA BASE CAMP,School-Age Child Care Center,312 Princeton RD,Fort Collins,CO,80525,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.0715,40.554912, , , ,300,5,4,12/31/2019 0:00,14,1,1351,12/31/2019 0:00,6,1,20180630
1639576,KELLIE MILLER,Three under Two Family Child Care Home,3238 W 11th Ave PL,Broomfield,CO,80020,Broomfield,Broomfield,Boulder Valley School District RE-2,Broomfield Early Childhood Council,Child Care Innovations,-105.107165,39.931663, , ,Level 1,6, , , , , ,   , , , ,20180630
1639772,CENTENNIAL EARLY CHILDHOOD,Preschool Program,1555 W 37th AVE,Loveland,CO,80538,Larimer,Loveland,Thompson School District R-2J,Early Childhood Council of Larimer County,ECC of Larimer County,-105.10003,40.429958,1/1/2015 0:00,12/31/2020 0:00,Level 4,20, , , , , ,   , , , ,20180630
1639935,NADXIELI GUTIERREZ-MCALLISTER,Family Child Care Home,4413 Slice DR,Colorado Springs,CO,80922,El Paso,Elsmere,Falcon School District 49,Alliance for Kids,Alliance for Kids,-104.702466,38.892839,3/2/2017 0:00,3/1/2020 0:00,Level 3,6, , , , , ,   , , , ,20180630
1640011,DENVER CHILD CARE CENTER,Child Care Center,3155 W Florida AVE,Denver,CO,80219,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-105.027757,39.689641,8/31/2017 0:00,8/31/2020 0:00,Level 4,22, , , , , ,   ,4/30/2020 0:00,0,1,20180630
1640015,LITTLETON PREPARATORY CHARTER SCHOOL PRE-K,Preschool Program,5301 S Bannock ST,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,Littleton School District 6,Arapahoe County Early Childhood Council,Child Care Innovations,-104.990407,39.619704,12/31/2016 0:00,12/31/2019 0:00,Level 4,36, , ,8/31/2020 0:00,0,1,   ,8/31/2020 0:00,0,1,20180630
1640353,LOUDMELA KARGAR,Large Family Child Care Home,10989 Clayton ST,Northglenn,CO,80233,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.955095,39.895983, , ,Level 1,12, , , , , ,   , , , ,20180630
1640563,LUMBERG PRESCHOOL,Preschool Program,6705 W 22nd AVE,Edgewater,CO,80214,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.071135,39.750059,3/16/2017 0:00,3/16/2020 0:00,Level 2,40, , , , , ,   , , , ,20180630
1640567,WESTGATE PRESCHOOL,Preschool Program,8550 W Vassar DR,Lakewood,CO,80227,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.09257,39.668901,3/16/2017 0:00,3/16/2020 0:00,Level 2,20, , , , , ,   , , , ,20180630
1640569,SHERIDAN GREEN PRESCHOOL,Preschool Program,10951 Harlan ST,Westminster,CO,80020,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.063675,39.895957,3/23/2017 0:00,3/23/2020 0:00,Level 2,32, , , , , ,   , , , ,20180630
1640578,AURORA FRONTIER K8,Preschool Program,3200 S Jericho WAY,Aurora,CO,80013,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.746275,39.658634,1/31/2017 0:00,1/31/2020 0:00,Level 5,16, , ,9/30/2020 0:00,0,1,   ,9/30/2020 0:00,0,1,20180630
1640606,AMERICAN ACADEMY KINDIE PREP,Child Care Center,11155 Motsenbocker,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.786381,39.51401, , ,Level 1,134, , , , , ,   , , , ,20180630
