PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
1551989,80516,School-Age Facility,"[40.037825, -105.052332]"
1552036,80130,FCC/DC/CCC,"[39.516572, -104.940252]"
1552047,80026,Infant/Toddler Facility,"[39.971914, -105.099577]"
1552067,80525,Preschool Facility,"[40.484864, -105.08489399999999]"
1552069,81637,School-Age Facility,"[39.639706, -106.94796200000002]"
1552120,80751,FCC/DC/CCC,"[40.63343, -103.202074]"
1552144,80401,School-Age Facility,"[39.716757, -105.29199799999999]"
1552148,80004,School-Age Facility,"[39.816055, -105.142353]"
1552182,81504,FCC/DC/CCC,"[39.066926, -108.494133]"
1552192,81635,FCC/DC/CCC,"[39.426569, -108.047001]"
1552225,80134,School-Age Facility,"[39.453901, -104.72811300000001]"
1552347,80233,FCC/DC/CCC,"[39.891115, -104.94813]"
1552372,80550,School-Age Facility,"[40.474302, -104.90437800000001]"
1552404,81507,FCC/DC/CCC,"[39.082668, -108.636074]"
1552405,80015,FCC/DC/CCC,"[39.615097, -104.788542]"
1552413,80516,FCC/DC/CCC,"[40.063140999999995, -105.04285300000001]"
1552483,80232,School-Age Facility,"[39.694953999999996, -105.078631]"
1552496,80863,School-Age Facility,"[39.077416, -105.072162]"
1552502,81615,School-Age Facility,"[39.226754, -106.923534]"
1552528,80525,FCC/DC/CCC,"[40.534617, -105.03826699999999]"
1552582,80109,School-Age Facility,"[39.382563, -104.904398]"
1552590,80134,School-Age Facility,"[39.498195, -104.80256800000001]"
1552601,80109,Preschool Facility,"[39.404119, -104.918081]"
1552628,80108,School-Age Facility,"[39.465953000000006, -104.894205]"
1552702,80021,Preschool Facility,"[39.885552000000004, -105.112136]"
1552703,80215,FCC/DC/CCC,"[39.752315, -105.115829]"
1552711,80004,Preschool Facility,"[39.816055, -105.142353]"
1552712,80128,Preschool Facility,"[39.572818, -105.09034299999999]"
1552799,80209,FCC/DC/CCC,"[39.704715, -104.94893799999998]"
1552802,81504,FCC/DC/CCC,"[39.085039, -108.48656100000001]"
1552806,80232,FCC/DC/CCC,"[39.68803, -105.056372]"
1552808,80920,FCC/DC/CCC,"[38.957905, -104.750344]"
1552810,80033,FCC/DC/CCC,"[39.764793, -105.072337]"
1552927,80249,FCC/DC/CCC,"[39.7887, -104.764714]"
1552940,80020,Infant/Toddler Facility,"[39.920177, -105.038802]"
1552963,80905,Preschool Facility,"[38.809294, -104.83985600000001]"
1552965,80016,FCC/DC/CCC,"[39.590975, -104.689651]"
1553008,81003,School-Age Facility,"[38.270727, -104.676793]"
1553012,80525,FCC/DC/CCC,"[40.487171000000004, -105.060606]"
1553022,80005,Infant/Toddler Facility,"[39.855259000000004, -105.09921999999999]"
1553031,80910,Preschool Facility,"[38.831886, -104.765589]"
1553033,80918,Preschool Facility,"[38.896007, -104.76743]"
1553087,80504,School-Age Facility,"[40.150431, -104.957901]"
1553088,80516,School-Age Facility,"[40.006136, -105.015611]"
1553090,80503,School-Age Facility,"[40.143673, -105.173377]"
1553092,80503,Preschool Facility,"[40.143673, -105.173377]"
1553093,80516,Preschool Facility,"[40.006136, -105.015611]"
1553095,80501,Preschool Facility,"[40.170035999999996, -105.095823]"
1553096,80503,Preschool Facility,"[40.144119, -105.160449]"
1553098,80501,Preschool Facility,"[40.193839000000004, -105.109524]"
1553130,80602,Infant/Toddler Facility,"[39.949576, -104.94385700000001]"
1553146,80004,FCC/DC/CCC,"[39.80836, -105.126139]"
1553163,81504,School-Age Facility,"[39.09008, -108.497933]"
1553164,81504,School-Age Facility,"[39.067797999999996, -108.490173]"
1553184,80015,Infant/Toddler Facility,"[39.611471, -104.776122]"
1553207,80547,School-Age Facility,"[40.51457, -104.950965]"
1553223,80027,FCC/DC/CCC,"[39.984151000000004, -105.13177900000001]"
1553250,80525,Preschool Facility,"[40.541984, -105.050794]"
1553252,80526,Preschool Facility,"[40.539590999999994, -105.120951]"
1553256,80549,FCC/DC/CCC,"[40.686668, -105.00275]"
1553282,80011,School-Age Facility,"[39.731549, -104.815022]"
1553285,80903,FCC/DC/CCC,"[38.842576, -104.8147]"
1553299,80442,FCC/DC/CCC,"[39.948676, -105.818821]"
1553304,80233,FCC/DC/CCC,"[39.902654, -104.949353]"
1553308,81419,Preschool Facility,"[38.802535999999996, -107.715002]"
1553310,80134,FCC/DC/CCC,"[39.518409000000005, -104.78399999999999]"
1553318,80905,Infant/Toddler Facility,"[38.804722999999996, -104.80649100000001]"
1553319,80424,FCC/DC/CCC,"[39.498335, -106.04888799999999]"
1553337,80634,FCC/DC/CCC,"[40.38831, -104.734167]"
